"Variable","n_runs"
"Agricultural Demand",138
"Agricultural Demand|Crops",110
"Agricultural Demand|Crops|Energy",34
"Agricultural Demand|Crops|Feed",73
"Agricultural Demand|Crops|Food",73
"Agricultural Demand|Crops|Other",73
"Agricultural Demand|Livestock",111
"Agricultural Demand|Livestock|Food",73
"Agricultural Demand|Livestock|Other",73
"Agricultural Production",138
"Agricultural Production|Energy",1
"Agricultural Production|Energy|Crops",136
"Agricultural Production|Energy|Residues",8
"Agricultural Production|Non-Energy",9
"Agricultural Production|Non-Energy|Crops",136
"Agricultural Production|Non-Energy|Livestock",116
"AR5 climate diagnostics|Concentration|CO2|FAIR|MED",410
"AR5 climate diagnostics|Concentration|CO2|MAGICC6|MED",411
"AR5 climate diagnostics|Forcing|Aerosol|Direct|MAGICC6|MED",411
"AR5 climate diagnostics|Forcing|Aerosol|MAGICC6|MED",411
"AR5 climate diagnostics|Forcing|Aerosol|Total|FAIR|MED",410
"AR5 climate diagnostics|Forcing|Aerosol|Total|MAGICC6|MED",411
"AR5 climate diagnostics|Forcing|CH4|FAIR|MED",410
"AR5 climate diagnostics|Forcing|CH4|MAGICC6|MED",411
"AR5 climate diagnostics|Forcing|CO2|FAIR|MED",410
"AR5 climate diagnostics|Forcing|CO2|MAGICC6|MED",411
"AR5 climate diagnostics|Forcing|F-Gases|MAGICC6|MED",411
"AR5 climate diagnostics|Forcing|FAIR|MED",410
"AR5 climate diagnostics|Forcing|Kyoto Gases|MAGICC6|MED",411
"AR5 climate diagnostics|Forcing|MAGICC6|MED",411
"AR5 climate diagnostics|Forcing|Montreal Protocol (orig.) gases|MAGICC6|MED",411
"AR5 climate diagnostics|Forcing|N2O|FAIR|MED",410
"AR5 climate diagnostics|Forcing|N2O|MAGICC6|MED",411
"AR5 climate diagnostics|Forcing|OtherGHGs|FAIR|MED",410
"AR5 climate diagnostics|Forcing|Tropospheric Ozone|FAIR|MED",410
"AR5 climate diagnostics|Forcing|Tropospheric Ozone|MAGICC6|MED",411
"AR5 climate diagnostics|Temperature|Exceedance Probability|1.0 °C|FAIR",410
"AR5 climate diagnostics|Temperature|Exceedance Probability|1.0 °C|MAGICC6",411
"AR5 climate diagnostics|Temperature|Exceedance Probability|1.5 °C|FAIR",410
"AR5 climate diagnostics|Temperature|Exceedance Probability|1.5 °C|MAGICC6",411
"AR5 climate diagnostics|Temperature|Exceedance Probability|2.0 °C|FAIR",410
"AR5 climate diagnostics|Temperature|Exceedance Probability|2.0 °C|MAGICC6",411
"AR5 climate diagnostics|Temperature|Exceedance Probability|2.5 °C|FAIR",410
"AR5 climate diagnostics|Temperature|Exceedance Probability|2.5 °C|MAGICC6",411
"AR5 climate diagnostics|Temperature|Exceedance Probability|3.0 °C|FAIR",410
"AR5 climate diagnostics|Temperature|Exceedance Probability|3.0 °C|MAGICC6",411
"AR5 climate diagnostics|Temperature|Exceedance Probability|3.5 °C|FAIR",410
"AR5 climate diagnostics|Temperature|Exceedance Probability|3.5 °C|MAGICC6",411
"AR5 climate diagnostics|Temperature|Exceedance Probability|4.0 °C|FAIR",410
"AR5 climate diagnostics|Temperature|Exceedance Probability|4.0 °C|MAGICC6",411
"AR5 climate diagnostics|Temperature|Global Mean|FAIR|Expected value",410
"AR5 climate diagnostics|Temperature|Global Mean|FAIR|Expected value|Non CO2",410
"AR5 climate diagnostics|Temperature|Global Mean|FAIR|MED",410
"AR5 climate diagnostics|Temperature|Global Mean|FAIR|MED|Non CO2",410
"AR5 climate diagnostics|Temperature|Global Mean|FAIR|P5",410
"AR5 climate diagnostics|Temperature|Global Mean|FAIR|P5|Non CO2",410
"AR5 climate diagnostics|Temperature|Global Mean|FAIR|P66",410
"AR5 climate diagnostics|Temperature|Global Mean|FAIR|P66|Non CO2",410
"AR5 climate diagnostics|Temperature|Global Mean|FAIR|P90",410
"AR5 climate diagnostics|Temperature|Global Mean|FAIR|P90|Non CO2",410
"AR5 climate diagnostics|Temperature|Global Mean|FAIR|P95",410
"AR5 climate diagnostics|Temperature|Global Mean|FAIR|P95|Non CO2",410
"AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|Expected value",411
"AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|Expected value|Non CO2",303
"AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED",411
"AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P5",411
"AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P66",411
"AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P90",411
"AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|P95",411
"Capacity|Electricity",242
"Capacity|Electricity|Biomass",281
"Capacity|Electricity|Coal",281
"Capacity|Electricity|Gas",281
"Capacity|Electricity|Geothermal",165
"Capacity|Electricity|Hydro",272
"Capacity|Electricity|Nuclear",287
"Capacity|Electricity|Ocean",11
"Capacity|Electricity|Oil",248
"Capacity|Electricity|Other",99
"Capacity|Electricity|Solar",269
"Capacity|Electricity|Solar|CSP",115
"Capacity|Electricity|Solar|PV",163
"Capacity|Electricity|Wind",287
"Capacity|Electricity|Wind|Offshore",69
"Capacity|Electricity|Wind|Onshore",123
"Capital Cost|Electricity|Biomass|w/ CCS",39
"Capital Cost|Electricity|Biomass|w/o CCS",41
"Capital Cost|Electricity|Coal|w/ CCS",39
"Capital Cost|Electricity|Coal|w/o CCS",42
"Capital Cost|Electricity|Gas|w/ CCS",39
"Capital Cost|Electricity|Gas|w/o CCS",42
"Capital Cost|Electricity|Geothermal",39
"Capital Cost|Electricity|Hydro",42
"Capital Cost|Electricity|Nuclear",42
"Capital Cost|Electricity|Solar|CSP",36
"Capital Cost|Electricity|Solar|PV",42
"Capital Cost|Electricity|Wind|Offshore",36
"Capital Cost|Electricity|Wind|Onshore",42
"Capital Cost|Gases|Biomass|w/o CCS",32
"Capital Cost|Gases|Coal|w/o CCS",32
"Capital Cost|Hydrogen|Biomass|w/ CCS",33
"Capital Cost|Hydrogen|Biomass|w/o CCS",33
"Capital Cost|Hydrogen|Coal|w/ CCS",33
"Capital Cost|Hydrogen|Coal|w/o CCS",33
"Capital Cost|Hydrogen|Electricity",33
"Capital Cost|Hydrogen|Gas|w/ CCS",33
"Capital Cost|Hydrogen|Gas|w/o CCS",33
"Capital Cost|Liquids|Biomass|w/ CCS",32
"Capital Cost|Liquids|Biomass|w/o CCS",32
"Capital Cost|Liquids|Coal|w/ CCS",32
"Capital Cost|Liquids|Coal|w/o CCS",32
"Capital Cost|Liquids|Oil",32
"Carbon Sequestration|CCS",359
"Carbon Sequestration|CCS|Biomass",359
"Carbon Sequestration|CCS|Biomass|Energy",16
"Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry",69
"Carbon Sequestration|CCS|Biomass|Energy|Supply",101
"Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity",101
"Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases",52
"Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen",80
"Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids",75
"Carbon Sequestration|CCS|Biomass|Energy|Supply|Other",26
"Carbon Sequestration|CCS|Biomass|Industrial Processes",8
"Carbon Sequestration|CCS|Fossil",313
"Carbon Sequestration|CCS|Fossil|Energy",16
"Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry",80
"Carbon Sequestration|CCS|Fossil|Energy|Supply",82
"Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity",50
"Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases",26
"Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen",38
"Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids",50
"Carbon Sequestration|CCS|Fossil|Energy|Supply|Other",26
"Carbon Sequestration|CCS|Fossil|Industrial Processes",13
"Carbon Sequestration|Direct Air Capture",15
"Carbon Sequestration|Enhanced Weathering",12
"Carbon Sequestration|Land Use",160
"Carbon Sequestration|Land Use|Afforestation",74
"Carbon Sequestration|Land Use|Biochar",6
"Carbon Sequestration|Land Use|Soil Carbon Management",6
"Concentration|CH4",150
"Concentration|CO2",150
"Concentration|N2O",150
"Consumption",342
